,time,posEst_J_0,posEst_J_1,posEst_J_2,velEst_J_0,velEst_J_1,velEst_J_2,angRateEst_LI_L_0,angRateEst_LI_L_1,angRateEst_LI_L_2
4389,2194.5,-3693244.400000059,-5850234.246687493,-902799.5867928637,6361.95182578742,-3928.2607426160444,-876.9310244698457,0.0,-0.0010962769878855088,0.0
4390,2195.0,-3690062.3411495243,-5852196.660276241,-903237.7873472503,6364.1170725343445,-3924.8268034121916,-876.4010245694482,0.0,-0.0010962779413148543,0.0
4391,2195.5,-3686879.2006181506,-5854157.356333842,-903675.7227753162,6366.280434015302,-3921.391741454378,-875.8707719801787,0.0,-0.0010962788947326985,0.0
4392,2196.0,-3683694.979348866,-5856116.334299421,-904113.3929507951,6368.441909641704,-3917.95555774484,-875.340266858052,0.0,-0.0010962798481390496,0.0
4393,2196.5,-3680509.6782848914,-5858073.593612604,-904550.7977474985,6370.601498825499,-3914.5182532860854,-874.8095093591463,0.0,-0.0010962808015339187,0.0
4394,2197.0,-3677323.2983697425,-5860029.133713517,-904987.937039316,6372.75920097917,-3911.0798290808925,-874.2784996396031,0.0,-0.0010962817549173163,0.0
4395,2197.5,-3674135.8405472273,-5861982.954042789,-905424.8107002156,6374.915015515731,-3907.64028613231,-873.7472378556271,0.0,-0.0010962827082892526,0.0
4396,2198.0,-3670947.305761448,-5863935.054041549,-905861.4186042431,6377.068941848736,-3904.1996254436563,-873.2157241634865,0.0,-0.0010962836616497354,0.0
4397,2198.5,-3667757.6949568,-5865885.433151429,-906297.7606255225,6379.22097939227,-3900.7578480185202,-872.6839587195125,0.0,-0.001096284614998779,0.0
4398,2199.0,-3664567.00907797,-5867834.0908145625,-906733.8366382561,6381.371127560956,-3897.3149548607603,-872.1519416800996,0.0,-0.001096285568336392,0.0
4399,2199.5,-3661375.249069938,-5869781.0264735855,-907169.6465167244,6383.519385769949,-3893.8709469745036,-871.6196732017056,0.0,-0.0010962865216625835,0.0
4400,2200.0,-3658182.4158779765,-5871726.239571637,-907605.1901352861,6385.665753434941,-3890.4258253641465,-871.0871534408512,0.0,-0.0010962874749773643,0.0
4401,2200.5,-3654988.510447649,-5873669.729552355,-908040.4673683783,6387.8102299721595,-3886.9795910343546,-870.5543825541204,0.0,-0.0010962884282807457,0.0
4402,2201.0,-3651793.5337248114,-5875611.495859883,-908475.4780905164,6389.952814798367,-3883.532244990062,-870.0213606981598,0.0,-0.0010962893815727362,0.0
4403,2201.5,-3648597.4866556106,-5877551.537938867,-908910.2221762942,6392.093507330862,-3880.08378823647,-869.4880880296795,0.0,-0.0010962903348533484,0.0
4404,2202.0,-3645400.3701864844,-5879489.855234454,-909344.6995003837,6394.232306987477,-3876.6342217790493,-868.9545647054522,0.0,-0.0010962912881225906,0.0
4405,2202.5,-3642202.185264162,-5881426.447192296,-909778.9099375355,6396.369213186584,-3873.183546623538,-868.4207908823134,0.0,-0.0010962922413804731,0.0
4406,2203.0,-3639002.9328356623,-5883361.313258547,-910212.8533625785,6398.504225347086,-3869.7317637759406,-867.8867667171619,0.0,-0.001096293194627007,0.0
4407,2203.5,-3635802.6138482955,-5885294.452879864,-910646.5296504203,6400.637342888424,-3866.27887424253,-867.3524923669589,0.0,-0.0010962941478622021,0.0
4408,2204.0,-3632601.2292496613,-5887225.865503406,-911079.9386760468,6402.768565230577,-3862.8248790298458,-866.8179679887285,0.0,-0.0010962951010860694,0.0
4409,2204.5,-3629398.779987649,-5889155.550576838,-911513.0803145225,6404.897891794058,-3859.3697791446934,-866.2831937395574,0.0,-0.0010962960542986175,0.0
4410,2205.0,-3626195.2670104373,-5891083.507548326,-911945.9544409905,6407.025321999916,-3855.9135755941456,-865.7481697765953,0.0,-0.0010962970074998588,0.0
4411,2205.5,-3622990.6912664943,-5893009.735866542,-912378.5609306725,6409.150855269738,-3852.456269385541,-865.2128962570542,0.0,-0.0010962979606898018,0.0
4412,2206.0,-3619785.0537045775,-5894934.2349806605,-912810.8996588688,6411.274491025645,-3848.997861526484,-864.6773733382089,0.0,-0.001096298913868458,0.0
4413,2206.5,-3616578.355273732,-5896857.00434036,-913242.9705009585,6413.396228690297,-3845.538353024844,-864.1416011773965,0.0,-0.001096299867035837,0.0
4414,2207.0,-3613370.596923292,-5898778.043395824,-913674.7733323993,6415.51606768689,-3842.077744888757,-863.6055799320169,0.0,-0.0010963008201919494,0.0
4415,2207.5,-3610161.77960288,-5900697.351597738,-914106.3080287275,6417.6340074391555,-3838.6160381266227,-863.0693097595323,0.0,-0.001096301773336805,0.0
4416,2208.0,-3606951.9042624063,-5902614.928397295,-914537.5744655585,6419.7500473713635,-3835.1532337471067,-862.5327908174673,0.0,-0.0010963027264704142,0.0
4417,2208.5,-3603740.9718520683,-5904530.77324619,-914968.5725185862,6421.86418690832,-3831.6893327591383,-861.996023263409,0.0,-0.0010963036795927882,0.0
4418,2209.0,-3600528.9833223512,-5906444.885596622,-915399.3020635834,6423.976425475369,-3828.2243361719115,-861.4590072550067,0.0,-0.0010963046327039357,0.0
4419,2209.5,-3597315.939624027,-5908357.264901297,-915829.7629764017,6426.086762498389,-3824.758244994884,-860.9217429499719,0.0,-0.0010963055858038697,0.0
4420,2210.0,-3594101.8417081544,-5910267.910613426,-916259.9551329718,6428.1951974038,-3821.291060237778,-860.3842305060786,0.0,-0.0010963065388925966,0.0
4421,2210.5,-3590886.6905260794,-5912176.822186722,-916689.878409303,6430.301729618556,-3817.822782910577,-859.8464700811628,0.0,-0.00109630749197013,0.0
4422,2211.0,-3587670.4870294333,-5914083.999075407,-917119.532681484,6432.40635857015,-3814.353414023531,-859.3084618331229,0.0,-0.0010963084450364782,0.0
4423,2211.5,-3584453.232170134,-5915989.440734205,-917548.917825682,6434.50908368661,-3810.88295458715,-858.7702059199191,0.0,-0.0010963093980916536,0.0
4424,2212.0,-3581234.926900384,-5917893.146618347,-917978.0337181435,6436.609904396506,-3807.411405612208,-858.2317024995739,0.0,-0.0010963103511356642,0.0
4425,2212.5,-3578015.572172673,-5919795.116183569,-918406.8802351939,6438.708820128943,-3803.938768109741,-857.6929517301716,0.0,-0.0010963113041685215,0.0
4426,2213.0,-3574795.168939775,-5921695.348886113,-918835.4572532377,6440.805830313565,-3800.4650430910474,-857.1539537698587,0.0,-0.0010963122571902362,0.0
4427,2213.5,-3571573.7181547484,-5923593.844182726,-919263.7646487587,6442.900934380552,-3796.9902315676873,-856.6147087768437,0.0,-0.0010963132102008188,0.0
4428,2214.0,-3568351.2207709374,-5925490.601530663,-919691.8022983195,6444.9941317606235,-3793.5143345514825,-856.0752169093967,0.0,-0.001096314163200278,0.0
4429,2214.5,-3565127.6777419695,-5927385.620387683,-920119.5700785622,6447.085421885037,-3790.0373530545157,-855.5354783258498,0.0,-0.0010963151161886247,0.0
4430,2215.0,-3561903.0900217565,-5929278.900212051,-920547.0678662079,6449.17480418559,-3786.559288089131,-854.9954931845971,0.0,-0.0010963160691658696,0.0
